다|多
다어주신지백누|多於周身之帛縷
다어주신지백루|多於周身之帛縷
다언|多言
다언거|多言去
다언계용|多言械用
다언관일|多言貫日
다언군국공거|多言郡國貢擧
다언군국공여|多言郡國貢擧
다언군자야|多言君子也
다언궁중야견귀물|多言宮中夜見鬼物
다언궁중야현귀물|多言宮中夜見鬼物
다언극이신눌|多言克以愼訥
다언다려|多言多慮
다언다패|多言多敗
다언무법|多言無法
다언무법이류|多言無法而流
다언무법이유|多言無法而流
다언백|多言白
다언번칭|多言繁稱
다언신사의|多言神事矣
다언야|多言也
다언이류|多言而類
다언이유|多言而類
다언이척전|多言而妬前
다언이투전|多言而妬前
다언장군지중|多言將軍持重
다언장노역공|多言張魯易攻
다언장노이공|多言張魯易攻
다언장로역공|多言張魯易攻
다언장로이공|多言張魯易攻
다언주야지편|多言鑄冶之便
다언지노절의|多言之路絶矣
다언지녹양교|多言持祿養交
다언지로절의|多言之路絶矣
다언지록양교|多言持祿養交
다언지양|多言持養
다여봉|多與棒
다여봉화|多擧烽火
다여사|多與食
다여성조|多擧城助
다여소단우|多與所短遇
다여소략우|多與所略遇
다여소약우|多與所略遇
다여식|多與食
다여왕내|多與往來
다여왕래|多與往來
다여인동|多與人同
다여장보련병|多與張步連兵
다여장보연병|多與張步連兵
다여증자동야|多與曾子同也
다여지위다|多與之爲多
다여지자|多擧之者
다여지재이책기사|多與之財而責其奢
다여차류|多如此類
다여차유|多如此類
다역|多力
다역|多亦
다역기사|多易其事
다역년삭|多歷年數
다역년소|多歷年所
다역년수|多歷年數
다역년촉|多歷年數
다역사임|多歷事任
다역선사|多力善射
다역선야|多力善射
다역연삭|多歷年數
다역연소|多歷年所
다역연수|多歷年數
다역연촉|多歷年數
다역이벌|多力而伐
다역이벌공|多力而伐功
다역이변협자|多力而騈脅者
다역이병협자|多力而騈脅者
다역이부벌공|多力而不伐功
다역이불벌공|多力而不伐功
다역작지|多或作之
다역즉강|多力則彊
다역칙강|多力則彊
다연지|多憐之
다연헐|茶煙歇
다연화위의병|多然火爲疑兵
다열간열지상자|多說姦淫之狀者
다열간열지장자|多說姦淫之狀者
다열간염지상자|多說姦淫之狀者
다열간염지장자|多說姦淫之狀者
다열간요지상자|多說姦淫之狀者
다열간요지장자|多說姦淫之狀者
다열간윤지상자|多說姦淫之狀者
다열간윤지장자|多說姦淫之狀者
다열간음지상자|多說姦淫之狀者
다열간음지장자|多說姦淫之狀者
다열공아조|多說供兒曹
다열녀창|多列女倡
다열설|多說舌
다열여창|多列女倡
다열황제요순우탕문무수도서지사|多說黃帝堯舜禹湯文武受圖書之事
다엽세|茶葉稅
다영농|多玲瓏
다영롱|多玲瓏
다영복국|多令覆鞫
다영약|多靈藥
다예|多藝
다예야|多譽也
다오공|多於孔
다오구토지성곽|多於九土之城郭
다오기상지공녀|多於機上之工女
다오기상지공여|多於機上之工女
다오남묘지농부|多於南畝之農夫
다오남무지농부|多於南畝之農夫
다오배자|多五倍者
다오시인지언어|多於市人之言語
다오재유지속립|多於在庾之粟粒
다오재유지속입|多於在庾之粟粒
다오주신지백누|多於周身之帛縷
다오주신지백루|多於周身之帛縷
다와위상|多譌爲賞
다와작마|多譌作磨
다왈|多曰
다왈선|多曰善
다왈적|多曰積
다왕귀지|多往歸之
다왕안남시역|多往安南市易
다왕안남시이|多往安南市易
다왕의지|多往依之
다왕종지|多往從之
다욕기병토|多欲起兵討
다욕자야|多欲者也
다욕즉사념|多欲則邪念
다욕즉사염|多欲則邪念
다욕즉장벌기심의|多欲則戕伐其心矣
다욕즉호동이무절|多欲則好動而無節
다욕칙사념|多欲則邪念
다욕칙사염|多欲則邪念
다욕칙장벌기심의|多欲則戕伐其心矣
다욕칙호동이무절|多欲則好動而無節
다용|多容
다용상자|多用愓字
다용안안위어조사|多用安案爲語助辭
다용이성공업|多用以成功業
다용초발지어명지|多用初發之語名之
다용촉사자|多用趨使字
다용추사자|多用趨使字
다용탕자|多用愓字
다우겁질공경|多又劫質公卿
다우구지의야|多憂懼之意也
다우노|多雨露
다우로|多雨露
다우선왕|多于先王
다우시자|多遇弑者
다운|多云
다운무해어물|多云無害於物
다운무해오물|多云無害於物
다원|多怨
다원지|多怨之
다위고전|多違故典
다위기언고|多爲其言故
다위도적|多爲盜賊
다위도적언|多爲盜賊焉
다위동유비첩|多爲童幼婢妾
다위명보|多委明寳
다위변환|多爲邊患
다위부모지망|多爲父母之望
다위사교|多爲詐巧
다위석시이편유|多爲釋詩而篇有
다위소살|多爲所殺
다위소설|多爲所殺
다위소쇄|多爲所殺
다위소시|多爲所殺
다위소유|多爲所有
다위소칙|多違詔勅
다위순도|多爲順道
다위순사|多爲順事
다위순사고야|多爲順事故也
다위시의소악|多爲時議所惡
다위오소거|多爲吳所據
다위의|多威儀
다위의구|多爲衣裘
다위의구|多為衣裘
다위조칙|多違詔勅
다위지고이변기지|多爲之故以變其志
다위지지|多爲之地
다위차배소오|多爲此輩所誤
다위차해|多爲此解
다위창소거|多爲昌所據
다위함용관대지언|多爲含容寬大之言
다위호사이자해|多爲好辭以自解
다위호우소점탈|多爲豪右所占奪
다위활리소이|多爲猾吏所餌
다위활이소이|多爲猾吏所餌
다위회우천기|多謂淮右荐饑
다유|多幼
다유|多幽
다유강자|多有降者
다유고문자|多有古文字
다유과차|多有過差
다유군병|多有軍兵
다유기노|多由己怒
다유기병토|多欲起兵討
다유기사|多有其事
다유법학|多有法學
다유병수요|多留兵守要
다유병즉부족용|多留兵則不足用
다유병즉부주용|多留兵則不足用
다유병즉불족용|多留兵則不足用
다유병즉불주용|多留兵則不足用
다유병칙부족용|多留兵則不足用
다유병칙부주용|多留兵則不足用
다유병칙불족용|多留兵則不足用
다유병칙불주용|多留兵則不足用
다유부가해자|多有不可解者
다유불가해자|多有不可解者
다유선부|多由選部
다유손부|多由選部
다유시무종|多有始無終
다유시이패어과|多有時而敗於寡
다유시이패오과|多有時而敗於寡
다유실낙|多有失落
다유실락|多有失落
다유어차|多由於此
다유오차|多由於此
다유의조지흔|多有疑阻之釁
다유이논|多有異論
다유이론|多有異論
다유자야|多欲者也
다유전생|多由殿省
다유전성|多由殿省
다유점말도찬|多有點抹塗竄
다유정고|多有情故
다유즉사념|多欲則邪念
다유즉사염|多欲則邪念
다유즉장벌기심의|多欲則戕伐其心矣
다유즉호동이무절|多欲則好動而無節
다유지자부|多有之者富
다유질역|多有疾疫
다유질유|多有疾疫
다유청확|多有青雘
다유칙사념|多欲則邪念
다유칙사염|多欲則邪念
다유칙장벌기심의|多欲則戕伐其心矣
다유칙호동이무절|多欲則好動而無節
다유편자|多謬編次
다유편차|多謬編次
다유항자|多有降者
다유회지우우|多有悔之憂虞
다윤몰이원회린|多淪没而遠悔吝
다윤몰이원회인|多淪没而遠悔吝
다음|多陰
다음지주이책기취|多飲之酒而責其醉
다음지주이책기취야|多飲之酒而責其醉也
다의|多儀
다의|多矣
다의궁액|多倚宮掖
다의급물|多儀及物
다의무결|多疑無決
다의소결|多疑少決
다의소결|多疑少决
다의왕준|多依王浚
다의이독대차사인자|多矣而獨載此四人者
다의이독재차사인자|多矣而獨載此四人者
다의이번고|多疑而煩苦
다의지|多依之
다의호여출조|多矣乎予出祖
다의호여출조자|多矣乎予出祖者
다의호여출조자다|多矣乎予出祖者多
다이|多以
다이결정혐의|多以決定嫌疑
다이결정혐의|多以决定嫌疑
다이고량년소위지|多以膏粱年少爲之
